c file generated by rmnkGenerator.R with seed  0 the 01/28/2020 10:16:36 
c version 1.1
c the links are random and identical for every objective functions
p rMNK 0 2 50 0 
p links
0  0  
1  1  
2  2  
3  3  
4  4  
5  5  
6  6  
7  7  
8  8  
9  9  
10  10  
11  11  
12  12  
13  13  
14  14  
15  15  
16  16  
17  17  
18  18  
19  19  
20  20  
21  21  
22  22  
23  23  
24  24  
25  25  
26  26  
27  27  
28  28  
29  29  
30  30  
31  31  
32  32  
33  33  
34  34  
35  35  
36  36  
37  37  
38  38  
39  39  
40  40  
41  41  
42  42  
43  43  
44  44  
45  45  
46  46  
47  47  
48  48  
49  49  
p tables
0.2171487  0.8966972  
0.7813547  0.3721239  
0.7310494  0.9082078  
0.4814239  0.8983897  
0.8708431  0.6607978  
0.2820647  0.06178627  
0.8998592  0.1765568  
0.05203364  0.3841037  
0.6917077  0.4976992  
0.04664455  0.9919061  
0.6600208  0.7774452  
0.8345461  0.2121425  
0.4898748  0.1255551  
0.4890403  0.3861141  
0.9535391  0.382388  
0.1459985  0.340349  
0.8685577  0.5995658  
0.3685798  0.1862176  
0.3103721  0.6684667  
0.4450994  0.1079436  
0.5472799  0.4112744  
0.4216461  0.6470602  
0.8573959  0.5530363  
0.7890742  0.7893562  
0.86731  0.4772301  
0.05704294  0.6927316  
0.06709017  0.8612095  
0.3964119  0.2447973  
0.8911937  0.09946616  
0.5014855  0.5186343  
0.06530863  0.4068302  
0.6828553  0.2936034  
0.2124595  0.3323947  
0.8349724  0.2580168  
0.2452944  0.7663107  
0.8304232  0.8753213  
0.8909707  0.8394403  
0.8306891  0.3337749  
0.8077905  0.8921983  
0.8187682  0.3899895  
0.229263  0.960618  
0.4726892  0.7125147  
0.6269366  0.3253522  
0.8613718  0.2026923  
0.8451684  0.1216919  
0.7786941  0.1433044  
0.8685835  0.05893438  
0.6729863  0.8762692  
0.3185575  0.7973088  
0.8810974  0.4100841  
0.07074608  0.6049333  
0.9051421  0.3531973  
0.5384482  0.9926841  
0.008900783  0.2132081  
0.1865648  0.478118  
0.5995503  0.598761  
0.8066901  0.7317925  
0.280086  0.4314737  
0.5049984  0.01307758  
0.6461158  0.1031842  
0.3752858  0.640101  
0.6875103  0.4955936  
0.003922627  0.1734423  
0.0464516  0.4538955  
0.2178179  0.2075451  
0.2378485  0.595712  
0.7063945  0.07706438  
0.1878685  0.6427955  
0.6363032  0.5980924  
0.8432859  0.5260277  
0.02983782  0.5076418  
0.823548  0.6015412  
0.6156961  0.2581659  
0.7307062  0.4525708  
0.8281999  0.7466983  
0.2745947  0.8645449  
0.9361975  0.5571595  
0.5816784  0.4531314  
0.717116  0.1808664  
0.9177608  0.07527574  
0.5280693  0.2126995  
0.666722  0.8950941  
0.7231502  0.7799849  
0.1632677  0.4131242  
0.2972213  0.3354875  
0.5360376  0.3376153  
0.4378232  0.8406146  
0.7695336  0.3913593  
0.5797841  0.8954454  
0.1351925  0.7410786  
0.5066813  0.9030816  
0.4357362  0.1912601  
0.02144594  0.5033395  
0.7591884  0.1891936  
0.1683283  0.7244989  
0.03668798  0.5476466  
0.8563731  0.3889051  
0.4929644  0.9273021  
0.6516979  0.5905732  
0.6882276  0.840507  
