c file generated by rmnkGenerator.R with seed  0 the 11/26/2019 12:04:16 
c version 1.1
c the links are random and identical for every objective functions
p rMNK 0 2 20 1 
p links
0  0  
18  18  
1  1  
6  6  
2  2  
8  8  
3  3  
11  11  
4  4  
18  18  
5  5  
3  3  
6  6  
18  18  
7  7  
18  18  
8  8  
13  13  
9  9  
12  12  
10  10  
1  1  
11  11  
3  3  
12  12  
3  3  
13  13  
14  14  
14  14  
7  7  
15  15  
14  14  
16  16  
9  9  
17  17  
13  13  
18  18  
19  19  
19  19  
7  7  
p tables
0.09691839  0.7774452  
0.8087399  0.2121425  
0.4966605  0.1255551  
0.8108064  0.3861141  
0.2755011  0.382388  
0.4523534  0.340349  
0.6110949  0.5995658  
0.07269791  0.1862176  
0.4094268  0.6684667  
0.159493  0.1079436  
0.2171487  0.4112744  
0.7813547  0.6470602  
0.7310494  0.5530363  
0.4814239  0.7893562  
0.8708431  0.4772301  
0.2820647  0.6927316  
0.8998592  0.8612095  
0.05203364  0.2447973  
0.6917077  0.09946616  
0.04664455  0.5186343  
0.6600208  0.4068302  
0.8345461  0.2936034  
0.4898748  0.3323947  
0.4890403  0.2580168  
0.9535391  0.7663107  
0.1459985  0.8753213  
0.8685577  0.8394403  
0.3685798  0.3337749  
0.3103721  0.8921983  
0.4450994  0.3899895  
0.5472799  0.960618  
0.4216461  0.7125147  
0.8573959  0.3253522  
0.7890742  0.2026923  
0.86731  0.1216919  
0.05704294  0.1433044  
0.06709017  0.05893438  
0.3964119  0.8762692  
0.8911937  0.7973088  
0.5014855  0.4100841  
0.06530863  0.6049333  
0.6828553  0.3531973  
0.2124595  0.9926841  
0.8349724  0.2132081  
0.2452944  0.478118  
0.8304232  0.598761  
0.8909707  0.7317925  
0.8306891  0.4314737  
0.8077905  0.01307758  
0.8187682  0.1031842  
0.229263  0.640101  
0.4726892  0.4955936  
0.6269366  0.1734423  
0.8613718  0.4538955  
0.8451684  0.2075451  
0.7786941  0.595712  
0.8685835  0.07706438  
0.6729863  0.6427955  
0.3185575  0.5980924  
0.8810974  0.5260277  
0.07074608  0.5076418  
0.9051421  0.6015412  
0.5384482  0.2581659  
0.008900783  0.4525708  
0.1865648  0.7466983  
0.5995503  0.8645449  
0.8066901  0.5571595  
0.280086  0.4531314  
0.5049984  0.1808664  
0.6461158  0.07527574  
0.3752858  0.2126995  
0.6875103  0.8950941  
0.003922627  0.7799849  
0.0464516  0.4131242  
0.2178179  0.3354875  
0.2378485  0.3376153  
0.7063945  0.8406146  
0.1878685  0.3913593  
0.6363032  0.8954454  
0.8432859  0.7410786  
