c file generated by rmnkGenerator.R with seed  0 the 03/15/2019 15:20:30 
c version 1.1
c the links are random and identical for every objective functions
p rMNK 0 5 100 0 
p links
0  0  0  0  0  
1  1  1  1  1  
2  2  2  2  2  
3  3  3  3  3  
4  4  4  4  4  
5  5  5  5  5  
6  6  6  6  6  
7  7  7  7  7  
8  8  8  8  8  
9  9  9  9  9  
10  10  10  10  10  
11  11  11  11  11  
12  12  12  12  12  
13  13  13  13  13  
14  14  14  14  14  
15  15  15  15  15  
16  16  16  16  16  
17  17  17  17  17  
18  18  18  18  18  
19  19  19  19  19  
20  20  20  20  20  
21  21  21  21  21  
22  22  22  22  22  
23  23  23  23  23  
24  24  24  24  24  
25  25  25  25  25  
26  26  26  26  26  
27  27  27  27  27  
28  28  28  28  28  
29  29  29  29  29  
30  30  30  30  30  
31  31  31  31  31  
32  32  32  32  32  
33  33  33  33  33  
34  34  34  34  34  
35  35  35  35  35  
36  36  36  36  36  
37  37  37  37  37  
38  38  38  38  38  
39  39  39  39  39  
40  40  40  40  40  
41  41  41  41  41  
42  42  42  42  42  
43  43  43  43  43  
44  44  44  44  44  
45  45  45  45  45  
46  46  46  46  46  
47  47  47  47  47  
48  48  48  48  48  
49  49  49  49  49  
50  50  50  50  50  
51  51  51  51  51  
52  52  52  52  52  
53  53  53  53  53  
54  54  54  54  54  
55  55  55  55  55  
56  56  56  56  56  
57  57  57  57  57  
58  58  58  58  58  
59  59  59  59  59  
60  60  60  60  60  
61  61  61  61  61  
62  62  62  62  62  
63  63  63  63  63  
64  64  64  64  64  
65  65  65  65  65  
66  66  66  66  66  
67  67  67  67  67  
68  68  68  68  68  
69  69  69  69  69  
70  70  70  70  70  
71  71  71  71  71  
72  72  72  72  72  
73  73  73  73  73  
74  74  74  74  74  
75  75  75  75  75  
76  76  76  76  76  
77  77  77  77  77  
78  78  78  78  78  
79  79  79  79  79  
80  80  80  80  80  
81  81  81  81  81  
82  82  82  82  82  
83  83  83  83  83  
84  84  84  84  84  
85  85  85  85  85  
86  86  86  86  86  
87  87  87  87  87  
88  88  88  88  88  
89  89  89  89  89  
90  90  90  90  90  
91  91  91  91  91  
92  92  92  92  92  
93  93  93  93  93  
94  94  94  94  94  
95  95  95  95  95  
96  96  96  96  96  
97  97  97  97  97  
98  98  98  98  98  
99  99  99  99  99  
p tables
0.07721865  0.04572472  0.3482647  0.1478457  0.8966972  
0.04752457  0.741393  0.03443877  0.18507  0.3721239  
0.916089  0.6732099  0.7451101  0.8978485  0.9082078  
0.1788714  0.8476254  0.6771061  0.7236908  0.8983897  
0.3069585  0.8588078  0.9470205  0.7810175  0.6607978  
0.1282439  0.676635  0.03171321  0.9403087  0.06178627  
0.695945  0.7361715  0.3871236  0.3574058  0.1765568  
0.7012464  0.2808001  0.9599686  0.792909  0.3841037  
0.882632  0.943425  0.5463376  0.475825  0.4976992  
0.3220276  0.03886658  0.9168595  0.3080524  0.9919061  
0.8927099  0.03001168  0.7170908  0.8227933  0.7774452  
0.5544931  0.09822723  0.5542834  0.5147327  0.2121425  
0.09686129  0.8185018  0.8196983  0.1431666  0.1255551  
0.875218  0.1339837  0.03586513  0.4057636  0.3861141  
0.934917  0.3504433  0.3669732  0.9325719  0.382388  
0.7887634  0.5329688  0.7278305  0.8794333  0.340349  
0.3334026  0.3142346  0.9100609  0.07246063  0.5995658  
0.08936092  0.0185464  0.7785446  0.5378649  0.1862176  
0.5149337  0.8785133  0.5768047  0.8016877  0.6684667  
0.08919613  0.4693811  0.8729749  0.05214902  0.1079436  
0.03483853  0.7020901  0.5055311  0.9205178  0.4112744  
0.7592941  0.5019583  0.1345135  0.2939918  0.6470602  
0.3824625  0.2979757  0.4899626  0.6097489  0.5530363  
0.3449867  0.540702  0.4349942  0.4230986  0.7893562  
0.2600091  0.7925954  0.644331  0.9425053  0.4772301  
0.9058467  0.06596663  0.3516667  0.07003269  0.6927316  
0.05648682  0.1235994  0.7431065  0.4425101  0.8612095  
0.3283419  0.9034657  0.9803648  0.1411851  0.2447973  
0.7143653  0.182563  0.036196  0.6578281  0.09946616  
0.6142165  0.5062087  0.7204158  0.9871018  0.5186343  
0.2690977  0.07664518  0.2349158  0.06494992  0.4068302  
0.4752783  0.7542672  0.2646206  0.4753979  0.2936034  
0.4236321  0.7238097  0.03466938  0.4414591  0.3323947  
0.9538274  0.3934589  0.3977061  0.9384137  0.2580168  
0.5408494  0.9399169  0.6310488  0.1630855  0.7663107  
0.2562869  0.3047657  0.07676579  0.6902567  0.8753213  
0.8823024  0.3852034  0.9737267  0.9551467  0.8394403  
0.1016209  0.864647  0.2237677  0.3971479  0.3337749  
0.7047338  0.6767627  0.01134019  0.2401163  0.8921983  
0.8908106  0.8028674  0.4545988  0.4359764  0.3899895  
0.1218665  0.9287031  0.99066  0.6919277  0.960618  
0.6271103  0.5963317  0.9447914  0.1554012  0.7125147  
0.8291641  0.7419672  0.8992775  0.9468178  0.3253522  
0.8680955  0.260723  0.7849355  0.5022508  0.2026923  
0.9362418  0.6788408  0.6777676  0.001836858  0.1216919  
0.9724476  0.3785845  0.3306681  0.1341113  0.1433044  
0.579329  0.8990259  0.06580196  0.9391367  0.05893438  
0.1984445  0.481013  0.01310972  0.1643266  0.8762692  
0.2245646  0.5120068  0.1192643  0.4595754  0.7973088  
0.7565051  0.4985717  0.03731267  0.5170098  0.4100841  
0.05786892  0.02094695  0.1615961  0.05516429  0.6049333  
0.6915448  0.1603988  0.7668428  0.6882752  0.3531973  
0.1240619  0.9752267  0.1881633  0.6633427  0.9926841  
0.1774306  0.7600703  0.06197036  0.9695282  0.2132081  
0.6337886  0.5158239  0.1654689  0.8495521  0.478118  
0.2777201  0.4370241  0.04288589  0.5326012  0.598761  
0.2037111  0.4355515  0.7892315  0.4671151  0.7317925  
