c file generated by rmnkGenerator.R with seed  0 the 03/08/2019 16:12:29 
c version 1.1
c the links are random and identical for every objective functions
p rMNK 0 3 100 4 
p links
0  0  0  
89  89  89  
27  27  27  
37  37  37  
55  55  55  
1  1  1  
90  90  90  
20  20  20  
88  88  88  
91  91  91  
2  2  2  
66  66  66  
62  62  62  
6  6  6  
20  20  20  
3  3  3  
18  18  18  
68  68  68  
38  38  38  
74  74  74  
4  4  4  
50  50  50  
71  71  71  
97  97  97  
37  37  37  
5  5  5  
77  77  77  
92  92  92  
21  21  21  
63  63  63  
6  6  6  
13  13  13  
27  27  27  
38  38  38  
1  1  1  
7  7  7  
38  38  38  
86  86  86  
34  34  34  
47  47  47  
8  8  8  
60  60  60  
49  49  49  
19  19  19  
80  80  80  
9  9  9  
67  67  67  
78  78  78  
11  11  11  
70  70  70  
10  10  10  
41  41  41  
81  81  81  
63  63  63  
76  76  76  
11  11  11  
55  55  55  
52  52  52  
77  77  77  
2  2  2  
12  12  12  
48  48  48  
72  72  72  
68  68  68  
46  46  46  
13  13  13  
86  86  86  
43  43  43  
24  24  24  
6  6  6  
14  14  14  
9  9  9  
31  31  31  
51  51  51  
64  64  64  
15  15  15  
41  41  41  
90  90  90  
29  29  29  
45  45  45  
16  16  16  
33  33  33  
64  64  64  
26  26  26  
46  46  46  
17  17  17  
76  76  76  
8  8  8  
85  85  85  
33  33  33  
18  18  18  
84  84  84  
34  34  34  
33  33  33  
46  46  46  
19  19  19  
89  89  89  
85  85  85  
38  38  38  
75  75  75  
20  20  20  
96  96  96  
43  43  43  
70  70  70  
39  39  39  
21  21  21  
33  33  33  
75  75  75  
19  19  19  
69  69  69  
22  22  22  
12  12  12  
25  25  25  
13  13  13  
24  24  24  
23  23  23  
5  5  5  
63  63  63  
85  85  85  
75  75  75  
24  24  24  
79  79  79  
45  45  45  
40  40  40  
78  78  78  
25  25  25  
60  60  60  
65  65  65  
35  35  35  
26  26  26  
26  26  26  
99  99  99  
63  63  63  
20  20  20  
12  12  12  
27  27  27  
48  48  48  
91  91  91  
59  59  59  
94  94  94  
28  28  28  
73  73  73  
35  35  35  
42  42  42  
14  14  14  
29  29  29  
1  1  1  
71  71  71  
10  10  10  
43  43  43  
30  30  30  
64  64  64  
98  98  98  
49  49  49  
47  47  47  
31  31  31  
17  17  17  
74  74  74  
45  45  45  
50  50  50  
32  32  32  
20  20  20  
22  22  22  
58  58  58  
56  56  56  
33  33  33  
7  7  7  
3  3  3  
63  63  63  
90  90  90  
34  34  34  
60  60  60  
55  55  55  
52  52  52  
95  95  95  
35  35  35  
51  51  51  
67  67  67  
59  59  59  
22  22  22  
36  36  36  
25  25  25  
72  72  72  
44  44  44  
16  16  16  
37  37  37  
74  74  74  
10  10  10  
84  84  84  
60  60  60  
38  38  38  
56  56  56  
32  32  32  
44  44  44  
49  49  49  
39  39  39  
17  17  17  
52  52  52  
7  7  7  
26  26  26  
40  40  40  
21  21  21  
27  27  27  
87  87  87  
43  43  43  
41  41  41  
78  78  78  
87  87  87  
40  40  40  
6  6  6  
42  42  42  
33  33  33  
71  71  71  
32  32  32  
61  61  61  
43  43  43  
84  84  84  
99  99  99  
37  37  37  
36  36  36  
44  44  44  
89  89  89  
64  64  64  
72  72  72  
59  59  59  
45  45  45  
90  90  90  
28  28  28  
18  18  18  
86  86  86  
46  46  46  
50  50  50  
86  86  86  
18  18  18  
73  73  73  
47  47  47  
72  72  72  
93  93  93  
54  54  54  
69  69  69  
48  48  48  
38  38  38  
9  9  9  
90  90  90  
27  27  27  
49  49  49  
59  59  59  
10  10  10  
82  82  82  
30  30  30  
50  50  50  
78  78  78  
26  26  26  
21  21  21  
49  49  49  
51  51  51  
26  26  26  
17  17  17  
50  50  50  
55  55  55  
52  52  52  
12  12  12  
25  25  25  
70  70  70  
93  93  93  
53  53  53  
9  9  9  
75  75  75  
92  92  92  
79  79  79  
54  54  54  
30  30  30  
64  64  64  
93  93  93  
92  92  92  
55  55  55  
33  33  33  
25  25  25  
16  16  16  
30  30  30  
56  56  56  
50  50  50  
91  91  91  
49  49  49  
29  29  29  
57  57  57  
4  4  4  
40  40  40  
83  83  83  
33  33  33  
58  58  58  
13  13  13  
36  36  36  
62  62  62  
37  37  37  
59  59  59  
69  69  69  
68  68  68  
53  53  53  
41  41  41  
60  60  60  
44  44  44  
30  30  30  
56  56  56  
88  88  88  
61  61  61  
14  14  14  
40  40  40  
20  20  20  
41  41  41  
62  62  62  
13  13  13  
45  45  45  
92  92  92  
74  74  74  
63  63  63  
93  93  93  
46  46  46  
58  58  58  
98  98  98  
64  64  64  
10  10  10  
24  24  24  
48  48  48  
35  35  35  
65  65  65  
93  93  93  
51  51  51  
30  30  30  
26  26  26  
66  66  66  
78  78  78  
69  69  69  
16  16  16  
6  6  6  
67  67  67  
75  75  75  
60  60  60  
16  16  16  
5  5  5  
68  68  68  
10  10  10  
37  37  37  
16  16  16  
28  28  28  
69  69  69  
19  19  19  
25  25  25  
17  17  17  
45  45  45  
70  70  70  
77  77  77  
2  2  2  
51  51  51  
85  85  85  
71  71  71  
36  36  36  
4  4  4  
13  13  13  
30  30  30  
72  72  72  
15  15  15  
12  12  12  
21  21  21  
97  97  97  
73  73  73  
13  13  13  
97  97  97  
31  31  31  
48  48  48  
74  74  74  
67  67  67  
9  9  9  
11  11  11  
4  4  4  
75  75  75  
92  92  92  
66  66  66  
9  9  9  
47  47  47  
76  76  76  
45  45  45  
36  36  36  
97  97  97  
16  16  16  
77  77  77  
81  81  81  
6  6  6  
38  38  38  
13  13  13  
78  78  78  
19  19  19  
83  83  83  
69  69  69  
25  25  25  
79  79  79  
49  49  49  
8  8  8  
34  34  34  
94  94  94  
80  80  80  
61  61  61  
65  65  65  
30  30  30  
38  38  38  
81  81  81  
99  99  99  
84  84  84  
93  93  93  
77  77  77  
82  82  82  
77  77  77  
26  26  26  
73  73  73  
95  95  95  
83  83  83  
29  29  29  
39  39  39  
78  78  78  
7  7  7  
84  84  84  
36  36  36  
43  43  43  
15  15  15  
55  55  55  
85  85  85  
97  97  97  
99  99  99  
17  17  17  
52  52  52  
86  86  86  
38  38  38  
66  66  66  
26  26  26  
45  45  45  
87  87  87  
17  17  17  
36  36  36  
70  70  70  
46  46  46  
88  88  88  
6  6  6  
76  76  76  
40  40  40  
95  95  95  
89  89  89  
28  28  28  
83  83  83  
7  7  7  
85  85  85  
90  90  90  
46  46  46  
10  10  10  
32  32  32  
80  80  80  
91  91  91  
27  27  27  
57  57  57  
81  81  81  
6  6  6  
92  92  92  
69  69  69  
68  68  68  
45  45  45  
41  41  41  
93  93  93  
55  55  55  
90  90  90  
22  22  22  
21  21  21  
94  94  94  
41  41  41  
32  32  32  
83  83  83  
17  17  17  
95  95  95  
48  48  48  
42  42  42  
54  54  54  
62  62  62  
96  96  96  
97  97  97  
22  22  22  
23  23  23  
76  76  76  
97  97  97  
82  82  82  
11  11  11  
93  93  93  
14  14  14  
98  98  98  
14  14  14  
90  90  90  
49  49  49  
99  99  99  
99  99  99  
34  34  34  
64  64  64  
30  30  30  
33  33  33  
p tables
0.4374791  0.4502746  0.1478457  
0.6665841  0.284876  0.18507  
0.613117  0.7433374  0.8978485  
0.2184919  0.8634081  0.7236908  
0.883134  0.3348521  0.7810175  
0.218357  0.7458052  0.9403087  
0.9635466  0.5540293  0.3574058  
0.410124  0.7807398  0.792909  
0.6957246  0.8977446  0.475825  
0.5112744  0.6168035  0.3080524  
0.6905065  0.4498747  0.8227933  
0.9842574  0.8327524  0.5147327  
0.7858541  0.8331105  0.1431666  
0.9158379  0.2183749  0.4057636  
0.9998202  0.2848204  0.9325719  
0.7971262  0.8213566  0.8794333  
0.001371508  0.6784544  0.07246063  
0.06202287  0.2463741  0.5378649  
0.2345542  0.8170979  0.8016877  
0.2880688  0.743198  0.05214902  
0.9957957  0.9240707  0.9205178  
0.08079438  0.4810416  0.2939918  
0.6389143  0.03629047  0.6097489  
0.8228615  0.6568705  0.4230986  
0.4735345  0.8758332  0.9425053  
0.09870208  0.223784  0.07003269  
0.5362916  0.1407787  0.4425101  
0.3064032  0.8436534  0.1411851  
0.2426963  0.3398737  0.6578281  
0.4294549  0.5573102  0.9871018  
0.7668948  0.3190384  0.06494992  
0.5544764  0.08082255  0.4753979  
0.144737  0.9455709  0.4414591  
0.8959155  0.5815727  0.9384137  
0.8862859  0.7361265  0.1630855  
0.4828961  0.8762022  0.6902567  
0.2099367  0.7157421  0.9551467  
0.9153358  0.7297274  0.3971479  
