c file generated by rmnkGenerator.R with seed  0 the 03/21/2019 17:27:25 
c version 1.1
c the links are random and identical for every objective functions
p rMNK 0 4 100 1 
p links
0  0  0  0  
89  89  89  89  
1  1  1  1  
27  27  27  27  
2  2  2  2  
37  37  37  37  
3  3  3  3  
57  57  57  57  
4  4  4  4  
90  90  90  90  
5  5  5  5  
20  20  20  20  
6  6  6  6  
89  89  89  89  
7  7  7  7  
94  94  94  94  
8  8  8  8  
66  66  66  66  
9  9  9  9  
63  63  63  63  
10  10  10  10  
6  6  6  6  
11  11  11  11  
21  21  21  21  
12  12  12  12  
18  18  18  18  
13  13  13  13  
69  69  69  69  
14  14  14  14  
39  39  39  39  
15  15  15  15  
77  77  77  77  
16  16  16  16  
50  50  50  50  
17  17  17  17  
72  72  72  72  
18  18  18  18  
99  99  99  99  
19  19  19  19  
38  38  38  38  
20  20  20  20  
77  77  77  77  
21  21  21  21  
93  93  93  93  
22  22  22  22  
21  21  21  21  
23  23  23  23  
65  65  65  65  
24  24  24  24  
12  12  12  12  
25  25  25  25  
27  27  27  27  
26  26  26  26  
39  39  39  39  
27  27  27  27  
1  1  1  1  
28  28  28  28  
38  38  38  38  
29  29  29  29  
87  87  87  87  
30  30  30  30  
34  34  34  34  
31  31  31  31  
48  48  48  48  
32  32  32  32  
60  60  60  60  
33  33  33  33  
49  49  49  49  
34  34  34  34  
18  18  18  18  
35  35  35  35  
82  82  82  82  
36  36  36  36  
67  67  67  67  
37  37  37  37  
79  79  79  79  
38  38  38  38  
10  10  10  10  
39  39  39  39  
72  72  72  72  
40  40  40  40  
41  41  41  41  
41  41  41  41  
82  82  82  82  
42  42  42  42  
65  65  65  65  
43  43  43  43  
78  78  78  78  
44  44  44  44  
55  55  55  55  
45  45  45  45  
53  53  53  53  
46  46  46  46  
79  79  79  79  
47  47  47  47  
2  2  2  2  
48  48  48  48  
47  47  47  47  
49  49  49  49  
73  73  73  73  
50  50  50  50  
69  69  69  69  
51  51  51  51  
47  47  47  47  
52  52  52  52  
86  86  86  86  
53  53  53  53  
43  43  43  43  
54  54  54  54  
24  24  24  24  
55  55  55  55  
6  6  6  6  
56  56  56  56  
9  9  9  9  
57  57  57  57  
31  31  31  31  
58  58  58  58  
51  51  51  51  
59  59  59  59  
66  66  66  66  
60  60  60  60  
40  40  40  40  
61  61  61  61  
91  91  91  91  
62  62  62  62  
29  29  29  29  
63  63  63  63  
45  45  45  45  
64  64  64  64  
32  32  32  32  
65  65  65  65  
64  64  64  64  
66  66  66  66  
25  25  25  25  
67  67  67  67  
47  47  47  47  
68  68  68  68  
76  76  76  76  
69  69  69  69  
8  8  8  8  
70  70  70  70  
87  87  87  87  
71  71  71  71  
33  33  33  33  
72  72  72  72  
84  84  84  84  
73  73  73  73  
