c file generated by rmnkGenerator.R with seed  0 the 03/21/2019 17:27:25 
c version 1.1
c the links are random and identical for every objective functions
p rMNK 0 4 100 2 
p links
0  0  0  0  
89  89  89  89  
27  27  27  27  
1  1  1  1  
37  37  37  37  
57  57  57  57  
2  2  2  2  
90  90  90  90  
20  20  20  20  
3  3  3  3  
89  89  89  89  
93  93  93  93  
4  4  4  4  
66  66  66  66  
62  62  62  62  
5  5  5  5  
7  7  7  7  
21  21  21  21  
6  6  6  6  
18  18  18  18  
68  68  68  68  
7  7  7  7  
39  39  39  39  
76  76  76  76  
8  8  8  8  
50  50  50  50  
71  71  71  71  
9  9  9  9  
99  99  99  99  
38  38  38  38  
10  10  10  10  
77  77  77  77  
92  92  92  92  
11  11  11  11  
22  22  22  22  
64  64  64  64  
12  12  12  12  
13  13  13  13  
27  27  27  27  
13  13  13  13  
39  39  39  39  
1  1  1  1  
14  14  14  14  
38  38  38  38  
86  86  86  86  
15  15  15  15  
34  34  34  34  
48  48  48  48  
16  16  16  16  
60  60  60  60  
49  49  49  49  
17  17  17  17  
19  19  19  19  
82  82  82  82  
18  18  18  18  
67  67  67  67  
78  78  78  78  
19  19  19  19  
10  10  10  10  
71  71  71  71  
20  20  20  20  
41  41  41  41  
81  81  81  81  
21  21  21  21  
65  65  65  65  
77  77  77  77  
22  22  22  22  
55  55  55  55  
52  52  52  52  
23  23  23  23  
79  79  79  79  
2  2  2  2  
24  24  24  24  
48  48  48  48  
72  72  72  72  
25  25  25  25  
69  69  69  69  
47  47  47  47  
26  26  26  26  
86  86  86  86  
43  43  43  43  
27  27  27  27  
24  24  24  24  
6  6  6  6  
28  28  28  28  
9  9  9  9  
31  31  31  31  
29  29  29  29  
52  52  52  52  
65  65  65  65  
30  30  30  30  
41  41  41  41  
90  90  90  90  
31  31  31  31  
29  29  29  29  
45  45  45  45  
32  32  32  32  
33  33  33  33  
64  64  64  64  
33  33  33  33  
25  25  25  25  
47  47  47  47  
34  34  34  34  
76  76  76  76  
8  8  8  8  
35  35  35  35  
87  87  87  87  
33  33  33  33  
36  36  36  36  
84  84  84  84  
33  33  33  33  
37  37  37  37  
33  33  33  33  
47  47  47  47  
38  38  38  38  
89  89  89  89  
85  85  85  85  
39  39  39  39  
38  38  38  38  
77  77  77  77  
40  40  40  40  
96  96  96  96  
43  43  43  43  
41  41  41  41  
71  71  71  71  
39  39  39  39  
42  42  42  42  
32  32  32  32  
75  75  75  75  
43  43  43  43  
20  20  20  20  
70  70  70  70  
44  44  44  44  
12  12  12  12  
24  24  24  24  
45  45  45  45  
14  14  14  14  
23  23  23  23  
46  46  46  46  
5  5  5  5  
63  63  63  63  
47  47  47  47  
87  87  87  87  
77  77  77  77  
48  48  48  48  
79  79  79  79  
44  44  44  44  
