c file generated by rmnkGenerator.R with seed  0 the 01/06/2020 19:11:06 
c version 1.1
c the links are random and identical for every objective functions
p rMNK 0 2 25 1 
p links
0  0  
22  22  
1  1  
7  7  
2  2  
9  9  
3  3  
14  14  
4  4  
22  22  
5  5  
4  4  
6  6  
22  22  
7  7  
23  23  
8  8  
16  16  
9  9  
16  16  
10  10  
1  1  
11  11  
4  4  
12  12  
4  4  
13  13  
17  17  
14  14  
9  9  
15  15  
19  19  
16  16  
11  11  
17  17  
18  18  
18  18  
24  24  
19  19  
9  9  
20  20  
18  18  
21  21  
23  23  
22  22  
5  5  
23  23  
15  15  
24  24  
3  3  
p tables
0.07603153  0.2672207  
0.6942926  0.01339034  
0.5821437  0.8696908  
0.6527693  0.4820801  
0.6255131  0.4935413  
0.6099211  0.8273733  
0.3105866  0.7942399  
0.5703756  0.7237109  
0.6935567  0.8209463  
0.0896297  0.7829328  
0.5849524  0.5297196  
0.5712496  0.0233312  
0.5399036  0.7323137  
0.2380261  0.4776196  
0.5293215  0.4380971  
0.5150103  0.07067905  
0.7522732  0.3162717  
0.6271333  0.6620051  
0.4760139  0.9128759  
0.722034  0.4590657  
0.2975375  0.6508705  
0.9355425  0.4785452  
0.37959  0.08424692  
0.937786  0.3390729  
0.6182837  0.3466835  
0.7013475  0.4763512  
0.74283  0.8643395  
0.5226863  0.7773207  
0.9722129  0.4346595  
0.1196809  0.3999944  
0.9520409  0.7570871  
0.6785079  0.7111212  
0.8677718  0.2454885  
0.7736192  0.2396294  
0.01843654  0.6422883  
0.4930605  0.7789147  
0.9008309  0.4552745  
0.9495603  0.8108702  
0.3262878  0.6547239  
0.5074039  0.2702601  
0.6247835  0.6334933  
0.8236493  0.1293723  
0.9315534  0.9240745  
0.8588557  0.9761707  
0.1586483  0.3567269  
0.7327879  0.1482116  
0.9168861  0.7155661  
0.0307912  0.4462844  
0.3353818  0.9918386  
0.5943104  0.4843495  
0.1449176  0.7548209  
0.1876949  0.5111698  
0.7321219  0.2286581  
0.01368841  0.5748722  
0.6006489  0.03554058  
0.9228483  0.9286152  
0.5574075  0.5609008  
0.4177947  0.9850952  
0.01050017  0.6827881  
0.4578696  0.2388687  
0.323836  0.7293096  
0.5307491  0.1751268  
0.6308105  0.1049876  
0.5138509  0.614645  
0.2154538  0.3287773  
0.01898192  0.500441  
0.1521179  0.5296306  
0.1135412  0.2777559  
0.890899  0.2847905  
0.1625834  0.4462353  
0.4129649  0.880619  
0.928846  0.06380848  
0.3011755  0.7237259  
0.5630689  0.6304141  
0.07151677  0.8561317  
0.7781862  0.3804939  
0.6664792  0.6443158  
0.8228055  0.6053035  
0.5702866  0.2937302  
0.3438377  0.8864509  
0.7678389  0.8770575  
0.2031639  0.7581031  
0.8864923  0.9437248  
0.8526771  0.7117439  
0.07477007  0.1008731  
0.845149  0.2832325  
0.340179  0.1103606  
0.6484266  0.3179637  
0.3411224  0.2675082  
0.04562186  0.5167968  
0.05630294  0.1811683  
0.6296429  0.5627829  
0.9888505  0.2563676  
0.006250774  0.9614099  
0.2523649  0.7632227  
0.294141  0.8186347  
0.5053455  0.6495795  
0.3049878  0.9537326  
0.5652824  0.2624741  
0.336989  0.3221681  
