c file generated by rmnkGenerator.R with seed  0 the 03/11/2019 16:36:55 
c version 1.1
c the links are random and identical for every objective functions
p rMNK 0 2 100 0 
p links
0  0  
1  1  
2  2  
3  3  
4  4  
5  5  
6  6  
7  7  
8  8  
9  9  
10  10  
11  11  
12  12  
13  13  
14  14  
15  15  
16  16  
17  17  
18  18  
19  19  
20  20  
21  21  
22  22  
23  23  
24  24  
25  25  
26  26  
27  27  
28  28  
29  29  
30  30  
31  31  
32  32  
33  33  
34  34  
35  35  
36  36  
37  37  
38  38  
39  39  
40  40  
41  41  
42  42  
43  43  
44  44  
45  45  
46  46  
47  47  
48  48  
49  49  
50  50  
51  51  
52  52  
53  53  
54  54  
55  55  
56  56  
57  57  
58  58  
59  59  
60  60  
61  61  
62  62  
63  63  
64  64  
65  65  
66  66  
67  67  
68  68  
69  69  
70  70  
71  71  
72  72  
73  73  
74  74  
75  75  
76  76  
77  77  
78  78  
79  79  
80  80  
81  81  
82  82  
83  83  
84  84  
85  85  
86  86  
87  87  
88  88  
89  89  
90  90  
91  91  
92  92  
93  93  
94  94  
95  95  
96  96  
97  97  
98  98  
99  99  
p tables
0.8521543  0.8966972  
0.81493  0.3721239  
0.1021515  0.9082078  
0.2763092  0.8983897  
0.2189825  0.6607978  
0.05969129  0.06178627  
0.6425942  0.1765568  
0.207091  0.3841037  
0.524175  0.4976992  
0.6919476  0.9919061  
0.1772067  0.7774452  
0.4852673  0.2121425  
0.8568334  0.1255551  
0.5942364  0.3861141  
0.06742807  0.382388  
0.1205667  0.340349  
0.9275394  0.5995658  
0.4621351  0.1862176  
0.1983123  0.6684667  
0.947851  0.1079436  
0.07948216  0.4112744  
0.7060082  0.6470602  
0.3902511  0.5530363  
0.5769014  0.7893562  
0.05749468  0.4772301  
0.9299673  0.6927316  
0.5574899  0.8612095  
0.8588149  0.2447973  
0.3421719  0.09946616  
0.01289823  0.5186343  
0.9350501  0.4068302  
0.5246021  0.2936034  
0.5585409  0.3323947  
0.06158626  0.2580168  
0.8369145  0.7663107  
0.3097433  0.8753213  
0.04485326  0.8394403  
0.6028521  0.3337749  
0.7598837  0.8921983  
0.5640236  0.3899895  
0.3080723  0.960618  
0.8445988  0.7125147  
0.05318218  0.3253522  
0.4977492  0.2026923  
0.9981631  0.1216919  
0.8658887  0.1433044  
0.0608633  0.05893438  
0.8356734  0.8762692  
0.5404246  0.7973088  
0.4829902  0.4100841  
0.9448357  0.6049333  
0.3117248  0.3531973  
0.3366573  0.9926841  
0.03047184  0.2132081  
0.1504479  0.478118  
0.4673988  0.598761  
0.5328849  0.7317925  
0.272233  0.4314737  
0.8125736  0.01307758  
0.4580207  0.1031842  
0.3620913  0.640101  
0.2910248  0.4955936  
0.8716721  0.1734423  
0.07182245  0.4538955  
0.2413032  0.2075451  
0.006086121  0.595712  
0.9706228  0.07706438  
0.7223419  0.6427955  
0.9567817  0.5980924  
0.6631217  0.5260277  
0.3782267  0.5076418  
0.04432423  0.6015412  
0.6712563  0.2581659  
0.8846577  0.4525708  
0.6207233  0.7466983  
0.267282  0.8645449  
0.4278297  0.5571595  
0.09368473  0.4531314  
0.6174954  0.1808664  
0.9503464  0.07527574  
0.1706757  0.2126995  
0.8671722  0.8950941  
0.2686284  0.7799849  
0.303803  0.4131242  
0.3558928  0.3354875  
0.04236348  0.3376153  
0.581661  0.8406146  
0.9056097  0.3913593  
0.4746945  0.8954454  
0.5917222  0.7410786  
0.2626945  0.9030816  
0.05106182  0.1912601  
0.9647222  0.5033395  
0.584682  0.1891936  
0.4719511  0.7244989  
0.2912599  0.5476466  
0.7570434  0.3889051  
0.3480591  0.9273021  
0.3514491  0.5905732  
0.5049359  0.840507  
0.5495146  0.7828513  
0.07122277  0.2186453  
0.2501783  0.2689506  
0.02520754  0.5185761  
0.6060509  0.1291569  
0.8933517  0.7179353  
0.6538379  0.1001408  
0.4612057  0.9479664  
0.5942095  0.3082923  
0.6597672  0.9533555  
0.9426273  0.3399792  
0.7873546  0.1654539  
0.8635124  0.5101252  
0.3789237  0.5109597  
0.3651242  0.04646088  
0.06182308  0.8540015  
0.6291165  0.1314423  
0.1714656  0.6314202  
0.6841216  0.6896279  
0.9350995  0.5549006  
0.3319494  0.4527201  
0.6983067  0.5783539  
0.798017  0.1426041  
0.7753695  0.2109258  
0.137966  0.13269  
0.05792509  0.9429571  
0.1568799  0.9329098  
0.6076341  0.6035881  
0.9048479  0.1088063  
0.4119336  0.4985145  
0.1327612  0.9346914  
0.2011855  0.3171447  
0.3765643  0.7875405  
0.4120721  0.1650276  
0.8005578  0.7547056  
0.3285917  0.1695768  
0.4777517  0.1090293  
0.4729038  0.1693109  
0.5800267  0.1922095  
0.8765711  0.1812318  
0.7233235  0.770737  
0.2218187  0.5273108  
0.4844738  0.3730634  
0.494157  0.1386282  
0.5739019  0.1548316  
0.08066823  0.2213059  
0.4926257  0.1314165  
0.4016046  0.3270137  
0.4406897  0.6814425  
0.8322847  0.1189026  
0.5264969  0.9292539  
0.09906073  0.09485785  
0.3234312  0.4615518  
0.9267531  0.9910992  
0.4691756  0.8134352  
0.2877754  0.4004497  
0.5298714  0.1933099  
0.2169023  0.719914  
0.568544  0.4950016  
0.8534382  0.3538842  
0.2328628  0.6247142  
0.3964043  0.3124897  
0.2933385  0.9960774  
0.1489238  0.9535484  
0.4217157  0.7821821  
0.9484047  0.7621515  
0.4518296  0.2936055  
0.9492288  0.8121315  
0.7023055  0.3636968  
0.1701229  0.1567141  
0.9573429  0.9701622  
0.457664  0.176452  
0.7286279  0.3843039  
0.6183679  0.2692938  
0.1644821  0.1718001  
0.3241919  0.7254053  
0.09776225  0.06380247  
0.8714353  0.4183216  
0.8077023  0.282884  
0.7748666  0.08223923  
0.5515725  0.4719307  
0.8417802  0.333278  
0.7938544  0.2768498  
0.8351088  0.8367323  
0.272819  0.7027787  
0.2915756  0.4639624  
0.17972  0.5621768  
0.0038889  0.2304664  
0.5715246  0.4202159  
0.2466673  0.8648075  
0.0005445934  0.4933187  
0.287535  0.5642638  
0.5275121  0.9785541  
0.8345849  0.2408116  
0.7076686  0.8316717  
0.9543608  0.963312  
0.9420679  0.1436269  
0.6572565  0.5070356  
0.3747547  0.3483021  
0.4838761  0.3117724  
